02/25/2021 14:20:58 - WARNING - __main__ -   Process rank: -1, device: cuda, n_gpu: 1, distributed training: False, 16-bits training: False, world size: 1
02/25/2021 14:21:01 - INFO - __main__ -   Model has a total of 125826048 trainable parameters
02/25/2021 14:21:01 - INFO - __main__ -   Training/evaluation parameters Namespace(adam_epsilon=1e-08, block_size=512, cache_dir='', config_dir=None, data_dir='../great/', device=device(type='cuda'), do_eval=False, do_lower_case=False, do_train=True, eval_all_checkpoints=False, evaluate_during_training=True, fp16=False, fp16_opt_level='O1', gpu_per_node=1, gradient_accumulation_steps=4, langs='PYTHON', learning_rate=4e-05, load_name='pretrained', local_rank=-1, log_file='varmis.log', logging_steps=100, max_grad_norm=1.0, max_steps=-1, mlm=True, mlm_probability=0.15, n_gpu=1, no_cuda=False, node_index=0, not_pretrain=False, num_train_epochs=20.0, output_dir='./save/varmis', overwrite_cache=False, overwrite_output_dir=True, per_gpu_eval_batch_size=16, per_gpu_train_batch_size=8, pretrain_dir='../.code-bert-cache/codebert-base', save_steps=4000, save_total_limit=None, seed=2233, server_ip='', server_port='', start_epoch=0, start_step=0, tensorboard_dir=None, tokenizer_dir=None, warmup_steps=0, weight_decay=0.01)
02/25/2021 14:21:01 - WARNING - __main__ -   Loading features from cached file ./save/varmis/train_langs_PYTHON_blocksize_512_wordsize_1_rank_0
02/25/2021 14:23:02 - INFO - __main__ -   ***** Running training *****
02/25/2021 14:23:02 - INFO - __main__ -     Num examples = 1645696
02/25/2021 14:23:02 - INFO - __main__ -     Num epoch = 20
02/25/2021 14:23:02 - INFO - __main__ -     Instantaneous batch size per GPU = 8
02/25/2021 14:23:02 - INFO - __main__ -     Total train batch size (w. parallel, distributed & accumulation) = 32
02/25/2021 14:23:02 - INFO - __main__ -     Gradient Accumulation steps = 4
02/25/2021 14:23:02 - INFO - __main__ -     Total optimization steps = 1028560
02/25/2021 15:10:31 - INFO - __main__ -     steps: 5200  ppl: 3.8341
02/25/2021 15:11:23 - INFO - __main__ -     steps: 5300  ppl: 2.9958
02/25/2021 15:12:15 - INFO - __main__ -     steps: 5400  ppl: 3.1024
02/25/2021 15:13:07 - INFO - __main__ -     steps: 5500  ppl: 3.0206
02/25/2021 15:14:00 - INFO - __main__ -     steps: 5600  ppl: 3.4166
02/25/2021 15:14:52 - INFO - __main__ -     steps: 5700  ppl: 2.8724
02/25/2021 15:15:47 - INFO - __main__ -     steps: 5800  ppl: 3.4773
02/25/2021 15:16:46 - INFO - __main__ -     steps: 5900  ppl: 3.063
02/25/2021 15:17:43 - INFO - __main__ -     steps: 6000  ppl: 3.477
02/25/2021 15:18:41 - INFO - __main__ -     steps: 6100  ppl: 3.2632
02/25/2021 15:19:38 - INFO - __main__ -     steps: 6200  ppl: 3.809
02/25/2021 15:20:34 - INFO - __main__ -     steps: 6300  ppl: 2.9075
02/25/2021 15:21:31 - INFO - __main__ -     steps: 6400  ppl: 2.7167
02/25/2021 15:22:28 - INFO - __main__ -     steps: 6500  ppl: 3.5424
02/25/2021 15:23:23 - INFO - __main__ -     steps: 6600  ppl: 3.261
02/25/2021 15:24:16 - INFO - __main__ -     steps: 6700  ppl: 3.798
02/25/2021 15:25:09 - INFO - __main__ -     steps: 6800  ppl: 3.6738
02/25/2021 15:26:01 - INFO - __main__ -     steps: 6900  ppl: 3.714
02/25/2021 15:26:54 - INFO - __main__ -     steps: 7000  ppl: 3.2348
02/25/2021 15:27:46 - INFO - __main__ -     steps: 7100  ppl: 3.1736
02/25/2021 15:28:40 - INFO - __main__ -     steps: 7200  ppl: 3.6316
02/25/2021 15:29:32 - INFO - __main__ -     steps: 7300  ppl: 3.2844
02/25/2021 15:30:24 - INFO - __main__ -     steps: 7400  ppl: 3.4579
02/25/2021 15:31:18 - INFO - __main__ -     steps: 7500  ppl: 3.3546
02/25/2021 15:32:10 - INFO - __main__ -     steps: 7600  ppl: 3.0881
02/25/2021 15:33:02 - INFO - __main__ -     steps: 7700  ppl: 2.9563
02/25/2021 15:33:53 - INFO - __main__ -     steps: 7800  ppl: 3.3892
02/25/2021 15:34:46 - INFO - __main__ -     steps: 7900  ppl: 3.0739
02/25/2021 15:35:38 - INFO - __main__ -     steps: 8000  ppl: 2.9562
02/25/2021 15:37:05 - INFO - __main__ -     cross_entropy = 1.095
02/25/2021 15:37:06 - INFO - __main__ -   Saving model checkpoint to ./save/varmis/checkpoint-8000-1.095
02/25/2021 15:37:34 - INFO - __main__ -   Saving optimizer and scheduler states to ./save/varmis/checkpoint-last
02/25/2021 15:38:25 - INFO - __main__ -     steps: 8100  ppl: 3.4393
02/25/2021 15:39:16 - INFO - __main__ -     steps: 8200  ppl: 3.1693
02/25/2021 15:40:09 - INFO - __main__ -     steps: 8300  ppl: 3.1774
02/25/2021 15:40:59 - INFO - __main__ -     steps: 8400  ppl: 3.2355
02/25/2021 15:41:51 - INFO - __main__ -     steps: 8500  ppl: 3.4914
02/25/2021 15:42:44 - INFO - __main__ -     steps: 8600  ppl: 3.2673
02/25/2021 15:43:37 - INFO - __main__ -     steps: 8700  ppl: 3.1805
02/25/2021 15:44:30 - INFO - __main__ -     steps: 8800  ppl: 3.2104
02/25/2021 15:45:22 - INFO - __main__ -     steps: 8900  ppl: 3.1024
02/25/2021 15:46:14 - INFO - __main__ -     steps: 9000  ppl: 3.2111
02/25/2021 15:47:06 - INFO - __main__ -     steps: 9100  ppl: 3.1159
02/25/2021 15:47:58 - INFO - __main__ -     steps: 9200  ppl: 3.1149
02/25/2021 15:48:51 - INFO - __main__ -     steps: 9300  ppl: 3.3363
02/25/2021 15:49:44 - INFO - __main__ -     steps: 9400  ppl: 3.3888
02/25/2021 15:50:36 - INFO - __main__ -     steps: 9500  ppl: 3.2997
02/25/2021 15:51:27 - INFO - __main__ -     steps: 9600  ppl: 3.2522
02/25/2021 15:52:20 - INFO - __main__ -     steps: 9700  ppl: 3.3385
02/25/2021 15:53:11 - INFO - __main__ -     steps: 9800  ppl: 3.1185
02/25/2021 15:54:03 - INFO - __main__ -     steps: 9900  ppl: 3.1713
02/25/2021 15:54:54 - INFO - __main__ -     steps: 10000  ppl: 3.0351
02/25/2021 15:55:46 - INFO - __main__ -     steps: 10100  ppl: 3.2858
02/25/2021 15:56:38 - INFO - __main__ -     steps: 10200  ppl: 2.9817
02/25/2021 15:57:32 - INFO - __main__ -     steps: 10300  ppl: 3.4185
02/25/2021 15:58:23 - INFO - __main__ -     steps: 10400  ppl: 3.5548
02/25/2021 15:59:17 - INFO - __main__ -     steps: 10500  ppl: 2.999
02/25/2021 16:00:09 - INFO - __main__ -     steps: 10600  ppl: 3.4026
02/25/2021 16:01:01 - INFO - __main__ -     steps: 10700  ppl: 2.9758
02/25/2021 16:01:53 - INFO - __main__ -     steps: 10800  ppl: 2.9043
02/25/2021 16:02:45 - INFO - __main__ -     steps: 10900  ppl: 3.3756
02/25/2021 16:03:37 - INFO - __main__ -     steps: 11000  ppl: 2.9103
02/25/2021 16:04:29 - INFO - __main__ -     steps: 11100  ppl: 2.8424
02/25/2021 16:05:21 - INFO - __main__ -     steps: 11200  ppl: 3.1683
02/25/2021 16:06:14 - INFO - __main__ -     steps: 11300  ppl: 3.4414
02/25/2021 16:07:04 - INFO - __main__ -     steps: 11400  ppl: 3.0724
02/25/2021 16:07:56 - INFO - __main__ -     steps: 11500  ppl: 3.2427
02/25/2021 16:08:47 - INFO - __main__ -     steps: 11600  ppl: 2.8286
02/25/2021 16:09:39 - INFO - __main__ -     steps: 11700  ppl: 3.1377
02/25/2021 16:10:31 - INFO - __main__ -     steps: 11800  ppl: 3.1317
02/25/2021 16:11:21 - INFO - __main__ -     steps: 11900  ppl: 3.135
02/25/2021 16:12:13 - INFO - __main__ -     steps: 12000  ppl: 3.49
02/25/2021 16:13:40 - INFO - __main__ -     cross_entropy = 1.0948
